,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,distance
4215,3088950,(140m2)La Casa Complex Eiffel Tower,7608379,Alexis,,Palais-Bourbon,48.8584425027703,2.297184462362873,Entire home/apt,561,1,21,2016-03-31,0.84,35,310,358.35
33825,6960986,STUDIO EIFFEL TOWER and SEINE,36501145,Marie,,Passy,48.85878036877391,2.287428811476119,Entire home/apt,75,1,78,2016-06-27,6.41,1,59,358.3
4921,13542749,Studio Tour Eiffel,77918435,Jeanne,,Palais-Bourbon,48.860090187961504,2.2964304282580628,Entire home/apt,75,3,0,,,1,37,358.19
18217,7169292,Typical Parisian Flat -Eiffel Tower,37548326,Isabelle,,Vaugirard,48.855333645366755,2.290795447056025,Entire home/apt,115,2,4,2015-08-17,0.35,1,4,355.21
34843,4030792,Great Houseboat facing Eiffel Tower,2244174,Brigitte,,Passy,48.8579542098725,2.2874882789094384,Entire home/apt,171,3,24,2016-06-27,1.14,1,83,354.17
32884,6649787,New Studette-Tour Eiffel-Trocadero,13771449,David,,Passy,48.85813514583061,2.2874716319634407,Entire home/apt,59,3,22,2015-12-28,1.78,1,119,353.3
3580,5911646,Paris Eiffel One BR with A/C!,27997930,Vacation In Paris,,Palais-Bourbon,48.85556019988664,2.294488035637408,Entire home/apt,175,3,13,2016-06-21,1.19,35,295,351.84
3832,3063849,(115 m2) Eiffel Pearl Apartment,7608379,Alexis,,Palais-Bourbon,48.859689765828065,2.296653712129233,Entire home/apt,600,1,39,2016-06-17,1.62,35,311,351.36
34111,9746505,Tour Eiffel/ Passy- Nice Apartment,14714757,Guest Trotter,,Passy,48.85811119821445,2.287508423487201,Entire home/apt,130,4,0,,,30,349,350.83
18336,7165479,A 3 mn de la Tour Eiffel sur jardin,37530580,Christian,,Vaugirard,48.85540050602018,2.293777109973056,Entire home/apt,130,3,36,2016-06-24,3.15,1,293,348.1
3734,2444975,Two rooms near the Eiffel Tower,7845180,Anne,,Palais-Bourbon,48.857938483692294,2.2969975712244817,Entire home/apt,90,1,146,2016-06-15,6.02,1,236,347.97
3774,5724631,AMAZING VIEW OF THE EIFFEL TOWER!,2107478,Philippe,,Palais-Bourbon,48.859855341327744,2.2964738083252203,Entire home/apt,89,1,126,2016-06-26,8.09,39,249,347.78
4174,6859333,[110m2] The Eiffel Mansion,7608379,Alexis,,Palais-Bourbon,48.8575332734396,2.2968464446109653,Entire home/apt,451,1,4,2016-04-03,0.39,35,285,346.38
3946,6294223,EIFFEL TOWER SUPERB VIEW SUPER FLAT,25732255,Alexandre,,Palais-Bourbon,48.85602156416933,2.295374762500647,Entire home/apt,551,10,4,2015-06-25,0.29,1,88,345.57
3597,8577525,Modern Apt. 2 mins  Eiffel Tower,45141730,Marie & Pierre,,Palais-Bourbon,48.85555100899808,2.2942379030474433,Entire home/apt,111,4,16,2016-06-26,1.93,1,298,344.78
35759,4859989,Le Grand Beethoven,12984381,Olivier,,Passy,48.85925436665372,2.287778995229229,Entire home/apt,261,5,1,2015-02-14,0.06,91,141,344.05
32860,11183825,Gorgeous Appt facing Eiffel Tower,45120471,Jamila,,Passy,48.85904617895152,2.2877061734620296,Entire home/apt,100,30,0,,,2,180,343.39
33639,541656,AMAZING LOFT Eiffel Tower Trocadero with terrace,2662932,Florence,,Passy,48.85867536599912,2.287631062955684,Entire home/apt,95,3,7,2012-11-04,0.14,1,7,342.29
4681,4677577,[55m2] Sophisticated Eiffel Apt,7608379,Alexis,,Palais-Bourbon,48.85598517138207,2.2952304652192925,Entire home/apt,199,1,1,2015-06-22,0.08,35,315,341.9
4318,9251396,At the foot of Eiffel Tower,3100167,Claudine,,Palais-Bourbon,48.85885568855469,2.296883462111485,Entire home/apt,99,3,7,2016-06-26,1.49,1,267,340.49
18948,3086967,One Million Dollar View Apartment,14048851,Franklin,,Vaugirard,48.85532890816164,2.292472391908696,Entire home/apt,140,2,15,2015-08-28,0.67,1,23,338.82
4003,13773999,Cosy studio facing the Tour Eiffel,46145267,Sara,,Palais-Bourbon,48.8608012543644,2.295048765806103,Entire home/apt,54,2,0,,,1,15,337.16
4998,4461412,[110m2] Eiffel Signature,7608379,Alexis,,Palais-Bourbon,48.859977751237906,2.29618009555878,Entire home/apt,400,1,13,2016-06-04,0.71,35,297,336.03
35829,524696,Studio 16th next to Eiffel Tower,982391,Edouard,,Passy,48.86119303256992,2.290650831443886,Entire home/apt,58,3,77,2016-06-10,2.08,2,338,335.59
32966,9010278,Tr?s beau studio meubl?  ? Paris,47050138,Joel,,Passy,48.858483889500256,2.287754380286128,Entire home/apt,191,4,0,,,1,0,331.84
17794,4828217,[110m2] Eiffel Gorgeous Apartment,7608379,Alexis,,Vaugirard,48.85555212213103,2.2936940668078734,Entire home/apt,400,1,7,2016-04-02,0.56,35,296,330.18
4922,13542569,Studio au pied de la Tour Eiffel,22684357,Arielle,,Palais-Bourbon,48.85574702858454,2.294385659485761,Entire home/apt,60,3,2,2016-06-26,2.0,1,39,329.95
3799,3798626,80m2 tout pr?s de la Tour Eiffel,19504073,Thierry,,Palais-Bourbon,48.859292871082275,2.2965707464963168,Entire home/apt,161,1,50,2016-06-27,2.73,1,342,329.61
4177,13505288,A Nice Room next to the EiffelTower,6579814,Aniska,,Palais-Bourbon,48.85921317855843,2.296604770674581,Private room,67,1,1,2016-06-20,1.0,1,15,329.36
17558,8640213,AVENUE DE SUFFREN - TOUR EIFFEL,1194261,Rod-Iv,,Vaugirard,48.85561961741197,2.293900415060921,Entire home/apt,335,5,0,,,10,339,328.18
16447,3238895,2 rooms/ 3 beds/ 5 people Paris 16,14730972,Nicolas,,Vaugirard,48.85555679128031,2.2935143496940764,Private room,181,1,1,2014-07-09,0.04,2,365,325.83
17821,8758742,Lovely bedroom  au Coeur de Paris,19217841,Max,,Vaugirard,48.85553419794871,2.2932710126054103,Private room,55,1,6,2016-06-16,0.85,1,364,323.83
33705,265700,Spacious 1 bed near Eiffel Tower,1330457,Matthias,,Passy,48.85761946879254,2.288061858534161,Entire home/apt,111,3,44,2016-05-13,0.81,1,110,320.3
16975,4773032,[110m2] The Eiffel original,7608379,Alexis,,Vaugirard,48.85549786022174,2.292494259346022,Entire home/apt,500,1,3,2016-03-20,0.24,35,254,320.13
3720,890465,Next to the Eiffel Tower with view,4558747,Olivier,,Palais-Bourbon,48.85624021851574,2.2951986660450503,Entire home/apt,146,5,82,2016-06-29,2.04,1,309,318.81
4767,862407,Amazing view on the Eiffel Tower.,4520528,Florence,,Palais-Bourbon,48.859468415793096,2.2962716269075942,Entire home/apt,140,4,121,2016-06-18,3.04,1,238,315.88
18171,2765864,Houseboat under the Eiffel Tower,13442428,Vittoria,,Vaugirard,48.85626338161213,2.2894141713245,Entire home/apt,97,3,148,2016-06-23,5.71,1,271,315.03
3989,9183994,Tour Eiffel - luxurious apartment,47783988,Marie,,Palais-Bourbon,48.856665649597595,2.295720525235137,Entire home/apt,350,3,1,2015-12-27,0.16,1,32,314.89
35096,869842,Loft Design Eiffel Tower/Trocad?ro,3421319,Claude,,Passy,48.85896763827007,2.2881815693152125,Entire home/apt,175,3,87,2016-06-30,2.19,1,185,307.54
4431,2611060,(130m?) Luxury Duplex Eiffel Tower,7608379,Alexis,,Palais-Bourbon,48.857682045005554,2.29635286358262,Entire home/apt,591,2,34,2016-02-23,1.25,35,290,307.21
33996,1866226,Charming studio near Eiffel Tower,8215125,Nathalie,,Passy,48.86109062755796,2.2928006091174784,Entire home/apt,95,4,57,2016-06-14,1.87,1,346,304.44
4323,866756,Charming apartment in city of light,4552219,Karen,,Palais-Bourbon,48.86006255119003,2.295502127707799,Entire home/apt,100,4,20,2016-06-26,0.48,2,253,300.97
34907,6911321,Les jardins du trocad?ro,36218101,Catherine,,Passy,48.85798446645978,2.2882674920890143,Entire home/apt,111,1,29,2016-06-25,2.45,1,254,297.25
4161,13672080,Luxurious apartment nearby the Eiffel Tower,79529513,Marc,,Palais-Bourbon,48.856147441418074,2.294363275143204,Entire home/apt,1202,3,0,,,1,356,290.42
35745,5255751,Sensational Eiffel Tower View 2 Bdr,2288803,Fabien,,Passy,48.858179711297744,2.2883587716711182,Entire home/apt,419,5,7,2015-11-10,0.56,155,257,288.21
33943,11035739,Magnificent apartment!,57268069,Ariana,,Passy,48.8596707896921,2.288958745067111,Entire home/apt,315,3,1,2016-06-23,1.0,1,325,283.02
